Pais,Codigo,Dia,Pruebas_realizadas
Mexico,MEX,2020-01-08,115
Mexico,MEX,2020-01-09,132
Mexico,MEX,2020-01-10,140
Mexico,MEX,2020-01-11,140
Mexico,MEX,2020-01-12,147
Mexico,MEX,2020-01-13,156
Mexico,MEX,2020-01-14,164
Mexico,MEX,2020-01-15,177
Mexico,MEX,2020-01-16,183
Mexico,MEX,2020-01-17,188
Mexico,MEX,2020-01-18,192
